mode,n_episodes,win_pct,loss_pct,m24_pct,cohens_h,chi_sq_pval
self_play,200000,91.756,5.301,2.943,NA,NA
vs_random,200000,15.7905,7.4255,76.78399999999999,1.7913000621529853,0
