moral_weight,n,win_pct,loss_pct,m24_pct,avg_steps
0,40000,94.45750000000001,4.1274999999999995,1.415,19.218625
0.1,40000,93.13749999999999,5.16,1.7025,19.067625
0.3,40000,92.83500000000001,6.035,1.13,23.816525
0.5,40000,93.45750000000001,4.797499999999999,1.745,19.15825
0.7,40000,95.1575,3.94,0.9025,19.242375
1,40000,94.6925,4.3925,0.915,20.44755
1.5,40000,95.5275,3.8575,0.615,19.39795
2,40000,94.99499999999999,4.2625,0.7425,19.37505
