schedule,m24_pre,m24_post,change_pp,p_value,significant
Shock (0|1 at 150k),56.56,33.934999999999995,-22.625000000000007,0,TRUE
Cynicism (1|0 at 150k),35.295,34.1,-1.1950000000000003,0.012420752089044246,TRUE
